"person.id","person.latest_member.id","person.latest_member.name.first","person.latest_member.name.last","person.latest_member.electorate","person.latest_member.house","person.latest_member.party","agreement","voted","policy_id","policy_name"
18044,592,"Валерій","Вощевський","обрано в Раду за списком партії","rada","Фракція Радикальної партії Олега Ляшка","100",TRUE,40,"За політичний курс Президента"
15657,718,"Павло","Петренко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","100",TRUE,40,"За політичний курс Президента"
11129,1000,"Юрій","Стець","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","100",TRUE,40,"За політичний курс Президента"
17975,699,"Сергій","Квіт","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","100",TRUE,40,"За політичний курс Президента"
3008,869,"Павло","Розенко","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","100",TRUE,40,"За політичний курс Президента"
2155,594,"В'ячеслав","Кириленко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","100",TRUE,40,"За політичний курс Президента"
15650,669,"Арсен","Аваков","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","100",TRUE,40,"За політичний курс Президента"
18057,585,"Ігор","Жданов","обрано в Раду за списком партії","rada","Фракція політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України","100",TRUE,40,"За політичний курс Президента"
19550,1125,"Федір","Бендюженко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","100",TRUE,40,"За політичний курс Президента"
18137,1016,"Іван","Спориш","Вінницька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","99",TRUE,40,"За політичний курс Президента"
18058,563,"Володимир","Арешонков","Житомирська область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","99",TRUE,40,"За політичний курс Президента"
15828,677,"Володимир","Мельниченко","Хмельницька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","99",TRUE,40,"За політичний курс Президента"
19405,692,"Владислав","Севрюков","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","99",TRUE,40,"За політичний курс Президента"
20121,1116,"Владислав","Данілін","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","98",TRUE,40,"За політичний курс Президента"
18059,968,"Ігор","Артюшенко","Запорізька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","98",TRUE,40,"За політичний курс Президента"
18161,973,"Сергій","Мельник","Хмельницька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","98",TRUE,40,"За політичний курс Президента"
18128,555,"Олексій","Порошенко","Вінницька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","98",TRUE,40,"За політичний курс Президента"
15649,739,"Степан","Кубів","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","98",TRUE,40,"За політичний курс Президента"
16698,1058,"Олена","Бойко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","98",TRUE,40,"За політичний курс Президента"
18121,584,"Іван","Мельничук","Вінницька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","98",TRUE,40,"За політичний курс Президента"
18167,856,"Віталій","Корчик","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","98",TRUE,40,"За політичний курс Президента"
16067,985,"Ігор","Алексєєв","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","97",TRUE,40,"За політичний курс Президента"
19404,777,"Григорій","Шверк","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
19858,1101,"Максим","Саврасов","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
17993,670,"Сергій","Алєксєєв","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
17989,1025,"Ольга","Червакова","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
15838,1084,"Олександр","Бригинець","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
4427,736,"Валерій","Бабенко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","97",TRUE,40,"За політичний курс Президента"
17413,554,"Олена","Ледовських","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","97",TRUE,40,"За політичний курс Президента"
17379,590,"Дмитро","Сторожук","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","97",TRUE,40,"За політичний курс Президента"
15730,861,"Григорій","Заболотний","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","97",TRUE,40,"За політичний курс Президента"
17961,822,"Микола","Величкович","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
6201,676,"Михайло","Довбенко","Івано-Франківська область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","96",TRUE,40,"За політичний курс Президента"
17985,882,"Артур","Герасимов","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","96",TRUE,40,"За політичний курс Президента"
18221,801,"Сергій","Драюк","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
6130,1050,"Олександр","Дехтярчук","Рівненська область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","96",TRUE,40,"За політичний курс Президента"
17969,725,"Тарас","Кремінь","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
15655,1055,"Максим","Бурбак","Чернівецька область","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
18129,708,"Андрій","Река","Полтавська область","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
17974,724,"Юлій","Мамчур","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","96",TRUE,40,"За політичний курс Президента"
16618,946,"Микола","Кадикало","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
17949,595,"Юрій","Береза","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
19859,1095,"Ярослав","Єдаков","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
11584,694,"Андрій","Парубій","обрано в Раду за списком партії","rada","Позафракційні","96",TRUE,40,"За політичний курс Президента"
14674,544,"Ігор","Гузь","Волинська область","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
18220,678,"Дмитро","Стеценко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","96",TRUE,40,"За політичний курс Президента"
18414,829,"Олександр","Ревега","Житомирська область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","96",TRUE,40,"За політичний курс Президента"
18142,743,"Григорій","Тіміш","Чернівецька область","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","95",TRUE,40,"За політичний курс Президента"
17962,877,"Олександр","Горбунов","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
18066,903,"Михайло","Бондар","Львівська область","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
18070,761,"Михайло","Гаврилюк","Київська область","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
17999,1056,"Сергій","Кудлаєнко","обрано в Раду за списком партії","rada","Фракція ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""","95",TRUE,40,"За політичний курс Президента"
15787,784,"Ігор","Васюник","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
17970,914,"Вадим","Кривенко","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
18164,925,"Андрій","Помазанов","обрано в Раду за списком партії","rada","Фракція Політичної партії ""НАРОДНИЙ ФРОНТ""","95",TRUE,40,"За політичний курс Президента"
