"division.id","division.house","division.name","division.date","division.number","division.clock_time","division.aye_votes","division.no_votes","division.possible_turnout","division.rebellions","division.edited","vote","strong","policy_id","policy_name"
570,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди між Україною та Європейським Союзом щодо статусу Консультативної місії Європейського Союзу з реформування сектору цивільної безпеки України (КМЄС в Україні) (№0003) - за основу та в цілому","2015-02-04",570,"11:00",272,0,423,46,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1367,"rada","Поіменне голосування  про проект Закону про ратифікацію Протоколу прикордонного знака ""ТУР"", який встановлено для позначення точки стику державних кордонів України, Румунії і Угорщини (№0008) - за основу та в цілому","2015-04-08",1367,"10:55",286,0,424,62,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1369,"rada","Поіменне голосування  про проект Закону про ратифікацію Листа про внесення змін до Фінансової угоди (Проект будівництва високовольтної повітряної лінії 750 кВ Рівненська АЕС - Київська) між Україною та Європейським інвестиційним банком (№0009) - за основу та в цілому","2015-04-08",1369,"11:00",279,0,424,70,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1591,"rada","Поіменне голосування  про проект Закону про ратифікацію Фінансової угоди між Україною та Європейським інвестиційним банком (Проект ""Надзвичайна кредитна програма для відновлення України"") (№0014) - за основу та в цілому","2015-04-22",1591,"10:50",263,0,424,54,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2425,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди між Україною та Японією про сприяння та захист інвестицій (№0020) - в цілому","2015-06-03",2425,"13:22",289,0,424,23,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2450,"rada","Поіменне голосування  про проект Закону про ратифікацію Меморандуму про взаєморозуміння між Україною та Європейським поліцейським офісом щодо встановлення захищеної лінії зв'язку (№0025) - в цілому","2015-06-04",2450,"10:43",294,0,423,56,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2605,"rada","Поіменне голосування  про проект Закону про приєднання України до Міжнародної конвенції про захист усіх осіб від насильницьких зникнень (№0030) - в цілому","2015-06-17",2605,"10:54",265,0,424,72,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2661,"rada","Поіменне голосування  про проект Закону про ратифікацію Меморандуму про взаєморозуміння між Україною як Позичальником та Європейським Союзом як Кредитором і Кредитної угоди між Україною як Позичальником, Національним банком України як Фінансовим агентом Позичальника та Європейським Союзом як Кредитором (щодо отримання Україною макрофінансової допомоги Європейського Союзу у сумі до 1 мільярда 800 мільйонів євро) (№0031) - в цілому","2015-06-18",2661,"12:04",310,0,425,63,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2873,"rada","Поіменне голосування  про проект Закону про ратифікацію Протоколу про стратегічну екологічну оцінку до Конвенції про оцінку впливу на навколишнє середовище у транскордонному контексті (№0032) - в цілому","2015-07-01",2873,"10:51",279,0,425,71,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3209,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди про правовий статус Регіонального екологічного центру для Центральної та Східної Європи (№0037) - в цілому","2015-07-15",3209,"10:59",250,0,425,68,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3211,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди (у формі обміну нотами) між Україною та Королівством Нідерланди про продовження до 1 серпня 2016 року строку дії Угоди між Україною та Королівством Нідерланди про Міжнародну місію захисту розслідування від 28 липня 2014 року (№0038) - в цілому","2015-07-15",3211,"11:04",261,0,425,70,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3213,"rada","Поіменне голосування  про проект Закону про ратифікацію Фінансової угоди (Проект ""Основний кредит для малих та середніх підприємств та компаній з середнім рівнем капіталізації"") між Україною та Європейським інвестиційним банком (№0039) - в цілому","2015-07-15",3213,"11:11",260,0,425,67,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3215,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди (у формі обміну нотами) між Україною та Європейським Союзом про відновлення дії Угоди між Україною та Європейським Співтовариством про наукове і технологічне співробітництво (№0040) - в цілому","2015-07-15",3215,"11:16",255,0,425,73,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3217,"rada","Поіменне голосування  про проект Закону про ратифікацію Фінансової угоди (Газопровід Уренгой - Помари - Ужгород (Проект ""Реконструкція, капітальний ремонт та технічне переоснащення магістрального газопроводу Уренгой - Помари - Ужгород"") між Україною та Європейським інвестиційним банком (№0041) - в цілому","2015-07-15",3217,"11:22",254,0,425,69,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3219,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди між Україною і Європейським Союзом про участь України у програмі Європейського Союзу Горизонт 2020 - Рамкова програма з досліджень та інновацій (2014-2020) (№0044) - в цілому","2015-07-15",3219,"11:27",254,0,425,72,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3483,"rada","Поіменне голосування  про проект Закону про ратифікацію Договору між Україною та Республікою Сенегал про видачу правопорушників (№0045) - в цілому","2015-09-02",3483,"11:21",256,0,419,70,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3485,"rada","Поіменне голосування  про проект Закону про ратифікацію Договору між Україною і Республікою Сенегал про правову допомогу у цивільних та кримінальних справах (№0046) - в цілому","2015-09-02",3485,"11:23",251,0,419,72,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3486,"rada","Поіменне голосування  про проект Закону про ратифікацію Договору між Україною та Республікою Сенегал про передачу засуджених осіб (№0047) - в цілому","2015-09-02",3486,"11:24",247,0,419,77,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3221,"rada","Поіменне голосування  про проект Закону про ратифікацію Меморандуму про спільні наміри Уряду України та Уряду Федеративної Республіки Німеччина стосовно незв'язаного фінансового кредиту загальним розміром 500 млн євро (№0048) - в цілому","2015-07-15",3221,"11:32",266,0,425,59,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3767,"rada","Поіменне голосування  про проект Закону про ратифікацію Договору про дружні відносини і співробітництво між Україною та Республікою Парагвай (№0053) - в цілому","2015-09-16",3767,"11:01",249,0,425,40,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3769,"rada","Поіменне голосування  про проект Закону про ратифікацію Конвенції Міжнародної організації праці про основні цілі та норми соціальної політики № 117 (№0055) - в цілому","2015-09-16",3769,"11:11",237,0,425,58,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3773,"rada","Поіменне голосування  про проект Закону про ратифікацію Угоди між Україною та Королівством Іспанія про здійснення оплачуваних видів діяльності членами сімей, які перебувають на утриманні дипломатичного, консульського, адміністративного і технічного персоналу дипломатичних представництв та консульських установ (№0058) - в цілому","2015-09-16",3773,"11:19",235,0,425,64,TRUE,"aye",TRUE,40,"За політичний курс Президента"
